Title line: Populacoes de Brycon amazonicus
Locus_1
Locus_2
Locus_3
Locus_4
Locus_5
Locus_6
Locus_7
Locus_8
Locus_9
Locus_10
Pop
HUM63 ,  198198 119141 198200 228232 224240 142142 165165 196196 166186 185185
HUM64 ,  196196 119121 190200 206232 228238 150152 149157 196198 148168 185185
HUM65 ,  188196 119147 192192 230230 224228 154154 157157 202202 146170 205207
HUM66 ,  210210 121121 192210 230230 224224 148154 149157 192196 148148 185217
HUM67 ,  196196 119143 202202 226230 226238 142154 157157 196198 166168 185205
HUM68 ,  192192 121143 202202 216230 238240 150154 149149 196198 148148 185185
HUM69 ,  198200 121143 200200 218228 224236 146150 169173 190196 148168 183185
HUM70 ,  188188 121143 198202 226228 224236 142154 149157 196208 148168 185207
HUM210 ,  194196 121145 202202 218228 224228 148156 169169 196198 158168 205205
HUM211 ,  186186 121143 194202 226228 226226 142154 157157 190198 148168 209209
HUM212 ,  196196 119147 192198 228228 224236 148154 149157 190208 146170 185185
HUM213 ,  198202 119143 194196 218222 228228 150156 157157 196202 146166 185185
Pop
San01 ,  198198 121143 198198 226226 228238 142154 157157 202208 148166 207207
San02 ,  180194 121143 196196 230230 228238 148148 149157 202208 148166 207207
San03 ,  194194 121143 198198 230230 228228 148148 149157 202208 148166 207211
San04 ,  198198 121143 198198 226226 228228 142148 157157 202208 148166 207211
San05 ,  194198 121149 196198 226226 228238 148148 157157 202208 148172 207207
San06 ,  198198 143143 198198 226226 228228 142154 149157 202208 166166 207207
San07 ,  180196 121143 198198 226230 228238 148154 149149 202208 148166 207207
San08 ,  180194 143149 198198 230230 228228 142154 157157 202208 166172 207207
San09 ,  194198 143143 198198 230230 228238 142154 157157 202208 168168 207207
San10 ,  194198 121121 198198 226230 228238 142142 149149 202208 148148 207207
San11 ,  194194 143149 198198 226230 228238 148148 157157 202208 166172 207207
San12 ,  180198 121143 196196 226230 228228 142148 149149 202208 148166 207207
San13 ,  198198 143143 196196 226230 228228 148148 157157 202208 166166 207207
San14 ,  180198 121143 198198 226226 228238 142154 149149 202208 148168 207207
San15 ,  194196 143143 198198 226226 228238 142148 149149 202208 166166 207207
San16 ,  198198 143143 196196 230230 228228 142148 157157 202208 168168 207207
San17 ,  194216 143143 198198 214230 228228 148148 151157 202208 166166 207207
San18 ,  180196 143143 196198 226226 228238 148154 157157 202208 166166 207207
San19 ,  194194 121143 198198 226230 228238 142148 149149 202208 148166 207207
San20 ,  198198 143143 196196 230230 228228 148154 149149 202208 166166 207207
San21 ,  198198 121143 196196 226230 228228 142154 157157 202208 148166 207207
San22 ,  198198 143143 198198 226230 228228 148148 149149 202208 166166 207207
San23 ,  180194 143143 196196 226230 228228 142148 157157 202208 166166 207207
San24 ,  180196 121143 196196 226226 228228 148154 149149 202208 148166 207207
