otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
23449,23449,MPEG,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.07987,-57.40053,Brazil,Pará,Trombetas,2007-12-02,"Oriximiná, Cachoeira Porteira, rio Trombetas, Pará","Andrade, M.",KX868690
100623,37263,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Bastos, D. | Ota, R.",-2.1754,-58.17393,Brazil,Amazonas,Jatapu,2011-10-01,Ressaca do Jatapu,"L. Rapp Py-Daniel, et al.",MG752280
100663,37263,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Bastos, D. | Ota, R.",-2.1754,-58.17393,Brazil,Amazonas,Jatapu,2011-10-01,Ressaca do Jatapu,"L. Rapp Py-Daniel, et al.",MG752281
100665,37263,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Bastos, D. | Ota, R.",-2.1754,-58.17393,Brazil,Amazonas,Jatapu,2011-10-01,Ressaca do Jatapu,"L. Rapp Py-Daniel, et al.",MG752282
100666,37263,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Bastos, D. | Ota, R.",-2.1754,-58.17393,Brazil,Amazonas,Jatapu,2011-10-01,Ressaca do Jatapu,"L. Rapp Py-Daniel, et al.",MG752283
105631,50234,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Ota, R.",-1.4425,-56.7535,Brazil,Pará,Trombetas,NA,"Braço do rio Trombetas, margem esquerda","L. Rapp Py-Daniel, et al.",MG752284
105644,50234,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Ota, R.",-1.4425,-56.7535,Brazil,Pará,Trombetas,NA,"Braço do rio Trombetas, margem esquerda","L. Rapp Py-Daniel, et al.",MG752285
105770,50180,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Ota, R.",-1.4404,-56.77522,Brazil,Pará,Trombetas,NA,"Lago marginal, na margem esquerda do rio Trombetas","L. Rapp Py-Daniel, et al.",MG752286
105809,50180,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Ota, R.",-1.4404,-56.77522,Brazil,Pará,Trombetas,NA,"Lago marginal, na margem esquerda do rio Trombetas","L. Rapp Py-Daniel, et al.",MG752287
107023,49381,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Ota, R.",-1.72333,-69.14011,Brazil,Amazonas,Japurá,2014-09-10,"Barco SISBIOTA em frente de communidade 'Taboca', margem esquerda do Rio Japurá","L. Rapp Py-Daniel, et al.",MG752288
12347,52516,INPA,ICT,PreservedSpecimen,Other material,"Myloplus lucienae Andrade, Ota, Bastos & Jégu 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lucienae,species,NA,"Machado, V.",-0.32547,-64.13447,Brazil,Amazonas,Negro,2013-02-25,Jaradí - rio Negro próx. Santa Izabel,Valeria Machado,MG752290
P29267,42972,INPA,ICT,PreservedSpecimen,Other material,"Myloplus lucienae Andrade, Ota, Bastos & Jégu 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lucienae,species,NA,"Bastos, D.",-0.14083,-67.08277,Brazil,Amazonas,Negro,2013-12-06,"Rio Negro, Pedral na ilha em frente  à São Gabriel da Cachoeira",Valeria Machado,MG752291
P29563,49881,INPA,ICT,PreservedSpecimen,Other material,"Myloplus lucienae Andrade, Ota, Bastos & Jégu 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lucienae,species,NA,"Rapp Py-Daniel, L. et al.",0.38955,-66.64826,Brazil,Amazonas,Negro,2015-03-01,"Rio Lá, afuente do rio Cauaburi. Comunidade do Balaio. Peixes comprados na feira de SGC.",Valeria Machado,MG752292
