otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
ISO1624,ISO1624,UFAM,LEGAL,MaterialSample,Other material,Acnodon normani Gosline 1951,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,normani,species,NA,"Andrade, M.",-3.36778,-51.9997,Brazil,Pará,Xingu,NA,"Brasil, Pará, Altamira, Rio Xingu, Pedral do Reboque Velho","Andrade, M.C.",MG751915
ISO1625,ISO1625,UFAM,LEGAL,MaterialSample,Other material,Acnodon normani Gosline 1951,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,normani,species,NA,"Andrade, M.",-3.36778,-51.9997,Brazil,Pará,Xingu,NA,"Brasil, Pará, Altamira, Rio Xingu, Pedral do Reboque Velho","Andrade, M.C.",MG751916
JAR154,JAR154,UFAM,LEGAL,MaterialSample,Other material,Acnodon senai Jégu & Santos 1990,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,senai,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG751917
JAR452,JAR452,UFAM,LEGAL,MaterialSample,Other material,Acnodon senai Jégu & Santos 1990,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,senai,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG751918
JAR223,JAR223,UFAM,LEGAL,MaterialSample,Other material,"Mylesinus paraschomburgkii Jégu, Santos & Ferreira 1989",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paraschomburgkii,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752112
JAR224,JAR224,UFAM,LEGAL,MaterialSample,Other material,"Mylesinus paraschomburgkii Jégu, Santos & Ferreira 1989",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paraschomburgkii,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752113
3128,3128,UFAM,CTGA,MaterialSample,Other material,Mylesinus paucisquamatus Jégu & Santos 1988,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752127
3129,3129,UFAM,CTGA,MaterialSample,Other material,Mylesinus paucisquamatus Jégu & Santos 1988,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752128
3130,3130,UFAM,CTGA,MaterialSample,Other material,Mylesinus paucisquamatus Jégu & Santos 1988,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752129
Mylenha,Mylenha,UFAM,LEGAL,MaterialSample,Other material,Mylesinus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,NA,genus,aff. paraschomburgkii,"Machado, V.",-1.3702666667,-57.97528,Brazil,Amazonas,Nhamundá,2015-03-25,Com. Indígena Riozinho - rio Nhamundá,Valeria Machado,MG752111
1728,1728,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-15,"Boca do Irirí, Rio Iriri na confluência com Rio Xingu",Valeria Machado,MG752137
1830,1830,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-19,"Ilha do Curapé, rio Iriri",Valeria Machado,MG752138
2039,2039,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Fernández, H. | Ortí, G.",-4.17405,-53.41331,Brazil,Pará,Xingu,2008-08-22,"rio Iriri, 4 horas abaixo da boca do rio Novo",Valeria Machado,MG752139
2818,2818,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-6.14894,-48.36074,Brazil,Para,Araguaia,2009-09-10,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,MG752140
3087,3087,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.46001,-48.34394,Brazil,Tocantins,Araguaia,2009-09-14,r. Araguaia /Jusante de AHE-SI/Araguatins/TO,Natasha Verdasca,MG752141
4570,4570,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.32363,-47.86833,Brazil,Tocantins,Tocantins,2009-12-18,Pe. São S. do Tocantins,Natasha Verdasca,MG752142
4867,4867,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.36263,-48.77338,Brazil,Para,Araguaia,2009-12-21,r. Araguaia prox do encontro com o r. Tocantins,Natasha Verdasca,MG752143
4868,4868,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.36263,-48.77338,Brazil,Para,Araguaia,2009-12-21,r. Araguaia prox do encontro com o r. Tocantins,Natasha Verdasca,MG752144
5478,5478,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752145
5479,5479,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752146
5480,5480,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752147
14068,14068,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752150
14069,14069,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752151
14074,14074,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752154
14955,14955,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752155
15117,15117,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752156
JAR149,JAR149,UFAM,LEGAL,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752161
JAR150,JAR150,UFAM,LEGAL,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752162
JAR151,JAR151,UFAM,LEGAL,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752163
1747,1747,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Fernández, H. | Ortí, G.",-4.17405,-53.41331,Brazil,Pará,Xingu,2008-08-16,"Arara, banco direito do rio Iriri",Natasha Verdasca,MG752296
1821,1821,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-19,"Ilha do Curapé, rio Iriri",Natasha Verdasca,MG752297
1822,1822,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-19,"Ilha do Curapé, rio Iriri",Natasha Verdasca,MG752298
1828,1828,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-19,"Ilha do Curapé, rio Iriri",Natasha Verdasca,MG752299
1829,1829,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-19,"Ilha do Curapé, rio Iriri",Natasha Verdasca,MG752300
3209,3209,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752301
3210,3210,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,MG752302
3211,3211,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,MG752303
5381,5381,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-24,rio Iriri,Valeria Machado,MG752304
5382,5382,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-24,rio Iriri,Valeria Machado,MG752305
5551,5551,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752306
5552,5552,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752307
11580,11580,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752308
11617,11617,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752311
11642,11642,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-26,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752312
15155,15155,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752313
15157,15157,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752315
15158,15158,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752316
15159,15159,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752317
15160,15160,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752318
15161,15161,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752319
15233,15233,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-9.77827,-59.39833,Brazil,Mato Grosso,Aripuanã,2014-12-09,Confluencia do rio Branco com Aripuanã - MT,Valeria Machado,MG752321
15236,15236,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-9.797175,-59.34406,Brazil,Mato Grosso,Aripuanã,2014-12-09,"rio Natal, abaixo de Dardanelos - MT",Valeria Machado,MG752322
1749,1749,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Fernández, H. | Ortí, G.",-4.17405,-53.41331,Brazil,Pará,Xingu,2008-08-16,"Arara, banco direito do rio Iriri",Natasha Verdasca,MG752166
1797,1797,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Fernández, H. | Ortí, G.",-4.27944,-53.49315,Brazil,Pará,Xingu,2008-08-17,Praia rochosa banco esquerdo do rio Iriri,Natasha Verdasca,MG752167
2864,2864,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Zuanon, J.",-6.14894,-48.36074,Brazil,Para,Araguaia,2009-09-11,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,MG752168
2865,2865,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Zuanon, J.",-6.14894,-48.36074,Brazil,Para,Araguaia,2009-09-11,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,MG752169
3124,3124,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752170
3125,3125,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752171
5549,5549,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-20,rio Iriri,Valeria Machado,MG752172
5550,5550,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-20,rio Iriri,Valeria Machado,MG752173
11141,11141,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,cf. arnoldi,"Souza, L.",-3.84083,-52.69611,Brazil,Pará,Xingu,2012-08-24,Rio Iriri (Acampamento),Valeria Machado,MG752174
11143,11143,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,cf. arnoldi,"Souza, L.",-3.84083,-52.69611,Brazil,Pará,Xingu,2012-08-24,Rio Iriri (Acampamento),Valeria Machado,MG752175
11192,11192,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Souza, L.",-3.45779,-51.70856,Brazil,Pará,Xingu,2012-09-04,"Cachoeira Jericoá, rio Xingu",Valeria Machado,MG752176
14368,14368,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Andrade, M.",-1.67511,-57.47677,Brazil,Amazonas,Nhamundá,2013-11-20,Com. Chave - rio Nhamundá,Valeria Machado,MG752185
15383,15383,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,cf. arnoldi,"Machado, V.",-5.7553,-57.35366,Brazil,Pará,Tapajós,2015-10-09,localidade 2 rio Tapajós,Valeria Machado,MG752187
5767,5767,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.01905,-49.73781,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,MG752190
5909,5909,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.80822,-49.67135,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,MG752191
5910,5910,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.80822,-49.67135,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,MG752192
5911,5911,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.80822,-49.67135,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,MG752193
12006,12006,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752194
12007,12007,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752195
12220,12220,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752201
12324,12324,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752204
12326,12326,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752206
12328,12328,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752208
12330,12330,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752210
12332,12332,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752212
14460,14460,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752215
