otherCatalogNumbers,CatalogNumbers,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,macroRegion,eventDate,locality,recordedBy,associatedSequences
CTGAH4305,CTGAH4305,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4305
CTGAH4331,CTGAH4331,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4331
CTGAH4329,CTGAH4329,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4329
CTGAH4330,CTGAH4330,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4330
CTGAH4232,CTGAH4232,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Orinoco+Negro,NA,NA,NA,CTGAH4232
PWA471,PWA471,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,PWA471
CTGAH4565,CTGAH4565,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4565
CTGAH4566,CTGAH4566,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4566
CTGAH4567,CTGAH4567,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4567
CTGAH4568,CTGAH4568,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4568
PWA751,PWA751,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,PWA751
CTGAH572,CTGAH572,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH572
CTGAH573,CTGAH573,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH573
CTGAH578,CTGAH578,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH578
CTGAH4507,CTGAH4507,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Peru,NA,Amazon,NA,NA,NA,CTGAH4507
CTGAH4508,CTGAH4508,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Peru,NA,Amazon,NA,NA,NA,CTGAH4508
CTGAH4509,CTGAH4509,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Peru,NA,Amazon,NA,NA,NA,CTGAH4509
CTGAH4510,CTGAH4510,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Peru,NA,Amazon,NA,NA,NA,CTGAH4510
CTGAH4511,CTGAH4511,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Peru,NA,Amazon,NA,NA,NA,CTGAH4511
MTR12981,MTR12981,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,MTR12981
MTR18608,MTR18608,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,MTR18608
MTR18789,MTR18789,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,MTR18789
MTRXXYY,MTRXXYY,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,MTRXXYY
CTGAH4512,CTGAH4512,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4512
CTGAH3828,CTGAH3828,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3828
CTGAH3829,CTGAH3829,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3829
CTGAH3831,CTGAH3831,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3831
CTGAH3832,CTGAH3832,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3832
CTGAH3844,CTGAH3844,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3844
CTGAH2688,CTGAH2688,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH2688
CTGAH2690,CTGAH2690,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH2690
CTGAH3811,CTGAH3811,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3811
CTGAH3814,CTGAH3814,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3814
CTGAH3815,CTGAH3815,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3815
CTGAH3816,CTGAH3816,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3816
CTGAH3817,CTGAH3817,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3817
CTGAH3843,CTGAH3843,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3843
CTGAH2687,CTGAH2687,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH2687
CTGAH3845,CTGAH3845,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3845
